RowId,ProductCode,SKU,Barcode,Title,Brand,Variant,Size,Dept,SubDept,Currency,SellPrice,WasPrice,OnPromo,PromoType,PriceType,PromoLabel,PromoStart,PromoEnd,PriceScope,AvailScope,BranchCode,StoreRef,MallCode,Stock,StockQty,StockSeen,ProductUrl,ObservedAt,Updated,InternalNotes
R1,EX1001,SKU-1001,6001111000011,Example Gentle Shampoo 400ml,ExampleBrand,Aloe,400ml,Hair,Shampoo,ZAR,79.99,,N,none,standard,,,,online_national,online,,,,in_stock,120,2026-07-30T06:00:00Z,https://example.test/p/EX1001,2026-07-30T06:15:00Z,2026-07-29T00:00:00Z,restock weekly
R2,EX1002,SKU-1002,6001111000028,Example Repair Shampoo 400ml,ExampleBrand,Argan,400ml,Hair,Shampoo,ZAR,59.99,89.99,Y,discount,promotional,Save R30,2026-07-25T00:00:00Z,2026-08-05T00:00:00Z,online_national,online,,,,in_stock,60,2026-07-30T06:00:00Z,https://example.test/p/EX1002,2026-07-30T06:15:00Z,,promo endcap
R3,0012345,,,Example Kids Shampoo 250ml,ExampleKids,Berry,250ml,Hair,Shampoo,ZAR,45.00,,N,none,standard,,,,online_national,online,,,,unknown,,,https://example.test/p/0012345,2026-07-30T06:00:00Z,,leading zero code
R4,EX1004,SKU-1004,6001111000042,Example Salon Shampoo 1L,ExampleSalon,Keratin,1L,Hair,Shampoo,ZAR,199.99,,N,none,standard,,,,branch_specific,branch_confirmed,BR-REDS-01,STORE-REDS,MALL-REDS,in_stock,15,2026-07-30T06:00:00Z,https://example.test/p/EX1004,2026-07-30T06:00:00Z,,mapped branch only with mapping fixture
R5,EX1005,SKU-1005,6001111000059,Example Volumize Shampoo 400ml,ExampleBrand,Volume,400ml,Hair,Shampoo,ZAR,72.50,,N,none,standard,,,,online_national,online,,,,out_of_stock,0,2026-07-30T06:00:00Z,https://example.test/p/EX1005,2026-07-30T06:00:00Z,,confirmed oos
R6,EX1006,,,Example Basic Shampoo 200ml,ExampleBrand,,200ml,Hair,Shampoo,ZAR,29.99,,,,,,,,online_national,unknown,,,,unknown,,,https://example.test/p/EX1006,2026-07-30T06:00:00Z,,minimal optional fields
R7,EX1001,SKU-1001,6001111000011,Example Gentle Shampoo 400ml,ExampleBrand,Aloe,400ml,Hair,Shampoo,ZAR,79.99,,N,none,standard,,,,online_national,online,,,,in_stock,120,2026-07-30T06:00:00Z,https://example.test/p/EX1001,2026-07-30T06:15:00Z,,duplicate of R1
R8,EX1008,SKU-1008,6001111000073,Example Broken Price Shampoo 400ml,ExampleBrand,Mint,400ml,Hair,Shampoo,ZAR,R--,,N,none,standard,,,,online_national,online,,,,in_stock,10,2026-07-30T06:00:00Z,https://example.test/p/EX1008,2026-07-30T06:00:00Z,,malformed price
R9,EX1009,SKU-1009,6001111000080,Example Bad Date Shampoo 400ml,ExampleBrand,Rose,400ml,Hair,Shampoo,ZAR,64.99,,N,none,standard,,,,online_national,online,,,,in_stock,10,2026-07-30T06:00:00Z,https://example.test/p/EX1009,not-a-date,,invalid timestamp
R10,,,,Example No-Identity Shampoo 400ml,ExampleBrand,Citrus,400ml,Hair,Shampoo,ZAR,55.00,,N,none,standard,,,,online_national,online,,,,in_stock,5,2026-07-30T06:00:00Z,https://example.test/p/none,2026-07-30T06:00:00Z,,no product identity
