mall_id,shop_id,product_name,brand,model,category,price,original_price,is_on_special,special_description,in_stock,trust_state,verification_method,valid_to,source_note
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0001-4000-8000-100000000001,Samsung Galaxy A16 LTE 128GB,Samsung,SM-A165,Electronics,3299,3299,false,,true,manual_fact_entry,csv_manual,2026-07-31T21:59:59+00:00,BATCH2 PLACEHOLDER - DO NOT APPLY until evidence captured | intended source: MallMind Phone Verification - Mall@Reds | evidence: [who called] [number] [date] [confirmed price+stock]
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0001-4000-8000-100000000001,Defy 20L Manual Microwave,Defy,DMO381,Electronics,1299,1299,false,,true,manual_fact_entry,csv_manual,2026-07-31T21:59:59+00:00,BATCH2 PLACEHOLDER - DO NOT APPLY until evidence captured | intended source: MallMind Phone Verification - Mall@Reds | evidence: [who called] [number] [date] [confirmed price+stock]
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0001-4000-8000-100000000001,Russell Hobbs 1.7L Cordless Kettle,Russell Hobbs,RHK102,Electronics,399,399,false,,true,manual_fact_entry,csv_manual,2026-07-31T21:59:59+00:00,BATCH2 PLACEHOLDER - DO NOT APPLY until evidence captured | intended source: MallMind Phone Verification - Mall@Reds | evidence: [who called] [number] [date] [confirmed price+stock]
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0001-4000-8000-100000000001,JBL Go 4 Portable Speaker,JBL,Go 4,Electronics,899,899,false,,true,manual_fact_entry,csv_manual,2026-07-31T21:59:59+00:00,BATCH2 PLACEHOLDER - DO NOT APPLY until evidence captured | intended source: MallMind Phone Verification - Mall@Reds | evidence: [who called] [number] [date] [confirmed price+stock]
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0001-4000-8000-100000000001,Sunbeam 2-Slice Toaster,Sunbeam,SST-200,Electronics,329,329,false,,true,manual_fact_entry,csv_manual,2026-07-31T21:59:59+00:00,BATCH2 PLACEHOLDER - DO NOT APPLY until evidence captured | intended source: MallMind Phone Verification - Mall@Reds | evidence: [who called] [number] [date] [confirmed price+stock]
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0002-4000-8000-100000000002,Jacobs Kronung Instant Coffee 200g,Jacobs,,Groceries,129.99,129.99,false,,true,manual_fact_entry,csv_manual,2026-07-31T21:59:59+00:00,BATCH2 PLACEHOLDER - DO NOT APPLY until evidence captured | intended source: MallMind Phone Verification - Mall@Reds | evidence: [who called] [number] [date] [confirmed price+stock]
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0002-4000-8000-100000000002,Nescafe Ricoffy 750g,Nescafe,,Groceries,159.99,159.99,false,,true,manual_fact_entry,csv_manual,2026-07-31T21:59:59+00:00,BATCH2 PLACEHOLDER - DO NOT APPLY until evidence captured | intended source: MallMind Phone Verification - Mall@Reds | evidence: [who called] [number] [date] [confirmed price+stock]
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0002-4000-8000-100000000002,Huletts White Sugar 2.5kg,Huletts,,Groceries,74.99,74.99,false,,true,manual_fact_entry,csv_manual,2026-07-31T21:59:59+00:00,BATCH2 PLACEHOLDER - DO NOT APPLY until evidence captured | intended source: MallMind Phone Verification - Mall@Reds | evidence: [who called] [number] [date] [confirmed price+stock]
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0002-4000-8000-100000000002,Sunlight Dishwashing Liquid 750ml,Sunlight,,Groceries,42.99,42.99,false,,true,manual_fact_entry,csv_manual,2026-07-31T21:59:59+00:00,BATCH2 PLACEHOLDER - DO NOT APPLY until evidence captured | intended source: MallMind Phone Verification - Mall@Reds | evidence: [who called] [number] [date] [confirmed price+stock]
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0002-4000-8000-100000000002,Fatti's & Moni's Macaroni 500g,Fatti's & Moni's,,Groceries,26.99,26.99,false,,true,manual_fact_entry,csv_manual,2026-07-31T21:59:59+00:00,BATCH2 PLACEHOLDER - DO NOT APPLY until evidence captured | intended source: MallMind Phone Verification - Mall@Reds | evidence: [who called] [number] [date] [confirmed price+stock]
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0003-4000-8000-100000000003,Woolworths Ayrshire Full Cream Milk 2L,Woolworths,,Food,46.99,46.99,false,,true,manual_fact_entry,csv_manual,2026-07-31T21:59:59+00:00,BATCH2 PLACEHOLDER - DO NOT APPLY until evidence captured | intended source: Retailer Website Public Page Evidence | evidence: [woolworths.co.za URL] [screenshot/snapshot] [date checked]
