mall_id,shop_id,product_name,brand,model,category,price,original_price,is_on_special,special_description,in_stock,trust_state,verification_method,valid_to,source_note
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0001-4000-8000-100000000001,"Hisense 43"" FHD LED TV",Hisense,43A4G,Electronics,3499,3999,true,Save R500 - limited stock,true,verified,phone,2026-07-31T21:59:59+00:00,Existing MallMind verified TV demo
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0001-4000-8000-100000000001,"Samsung 32"" HD Smart TV",Samsung,UA32T4300,Electronics,2999,2999,false,,true,manual_fact_entry,csv_manual,2026-07-31T21:59:59+00:00,Existing MallMind seed to re-stage with provenance
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0001-4000-8000-100000000001,"LG 40"" FHD Smart TV",LG,40LM6300,Electronics,3799,4299,true,R500 off this week only,true,manual_fact_entry,csv_manual,2026-07-31T21:59:59+00:00,Existing MallMind seed to re-stage with provenance
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0001-4000-8000-100000000001,JBL Tune 215TWS Earbuds,JBL,Tune 215TWS,Electronics,699,899,true,R200 off,true,manual_fact_entry,csv_manual,2026-07-31T21:59:59+00:00,Existing MallMind seed to re-stage with provenance
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0001-4000-8000-100000000001,Sony Bluetooth Speaker SRS-XB13,Sony,SRS-XB13,Electronics,899,899,false,,true,manual_fact_entry,csv_manual,2026-07-31T21:59:59+00:00,Existing MallMind seed to re-stage with provenance
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0002-4000-8000-100000000002,Coca-Cola 2L,Coca-Cola,,Groceries,24.99,24.99,false,,true,manual_fact_entry,csv_manual,2026-07-31T21:59:59+00:00,Existing MallMind seed to re-stage with provenance
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0002-4000-8000-100000000002,Lay's Classic Chips 125g,Lay's,,Groceries,19.99,19.99,false,,true,manual_fact_entry,csv_manual,2026-07-31T21:59:59+00:00,Existing MallMind seed to re-stage with provenance
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0002-4000-8000-100000000002,Albany Superior White Bread 700g,Albany,,Groceries,18.99,18.99,false,,true,manual_fact_entry,csv_manual,2026-07-31T21:59:59+00:00,Existing MallMind seed to re-stage with provenance
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0003-4000-8000-100000000003,Woolworths Free Range Chicken Portions 1kg,Woolworths,,Food,89.99,89.99,false,,true,manual_fact_entry,csv_manual,2026-07-31T21:59:59+00:00,Existing MallMind seed to re-stage with provenance
f4a2c1b3-8d7e-4f6a-9b0c-1d2e3f4a5b6c,a1b2c3d4-0003-4000-8000-100000000003,Woolworths Greek Yoghurt 500g,Woolworths,,Food,45.99,45.99,false,,true,verified,website,2026-07-31T21:59:59+00:00,Existing MallMind verified website seed
